Cities,Count,Lat,Lng
Hope,52,36.8979636,-95.92665269999999
Kirksville,51,40.19475389999999,-92.5832496
Owensboro,51,37.7719074,-87.1111676
Corinth,51,37.9386365,22.9322383
Borger,51,35.6678203,-101.3973876
Eunice,51,30.4943669,-92.4176324
Murray,50,36.6103334,-88.31476099999999
Monticello,50,38.0086043,-78.4531994
Yankton,50,42.87110879999999,-97.39728129999999
Northport,50,40.9009313,-73.3431727
Vermillion,50,44.8341682,-93.0451823
Pecos,50,31.4229124,-103.4932293
Wahpeton,50,46.2652367,-96.60590719999999
Claremore,50,36.3125963,-95.61609
Florence,49,43.7695604,11.2558136
Lafayette,49,30.2240897,-92.0198427
Ardmore,49,34.1742611,-97.14362539999999
Hammond,49,41.5833688,-87.5000412
Ponca City,49,36.706981,-97.0855948
Lancaster,49,40.0378755,-76.3055144
Yazoo City,49,32.8551326,-90.4056468
West Fargo,49,46.8769487,-96.89990569999999
Brighton,48,40.598019,-111.583187
Norman,48,35.2225668,-97.4394777
Dickson,48,36.0770048,-87.3877899
Ames,48,42.0307812,-93.63191309999999
Bellevue,48,47.6101497,-122.2015159
Canyon,48,34.9803342,-101.9188024
Sioux Falls,48,43.5473028,-96.728333
Marshalltown,48,42.0494674,-92.90803749999999
Topeka,48,39.0473451,-95.67515759999999
Merrill,48,45.1805223,-89.683459
Republic,48,37.2141258,-95.57720660000001
Minot,48,48.2329668,-101.2922906
Shreveport,48,32.5251516,-93.7501789
Excelsior Springs,48,39.3391712,-94.22605589999999
Cabot,47,44.4014456,-72.3123248
Eufaula,47,31.8912717,-85.1454876
Carbondale,47,37.7272727,-89.2167501
Bastrop,47,30.1104947,-97.3152701
Durant,47,33.9924186,-96.39712329999999
Fremont,47,37.5485396,-121.988583
Gillette,47,42.0909458,-71.2643465
Albertville,47,45.2312337,-93.6687657
Glasgow,47,55.864237,-4.251806
Storm Lake,47,42.6430359,-95.2019399
Jonesboro,46,35.84229670000001,-90.704279
Bossier City,46,32.5159852,-93.7321228
Grenada,45,12.1165,-61.67899999999999
Sumter,45,33.9123048,-80.4103957
Lake Charles,45,30.2265949,-93.2173758
Saraland,45,30.820742,-88.07055559999999
Pineville,45,35.0832014,-80.89229569999999
Jamestown,44,37.2116383,-76.7752102
Ottawa,44,45.4215296,-75.69719309999999
Hannibal,44,39.7083789,-91.35848159999999
Hot Springs,44,34.5037004,-93.0551795
Big Spring,44,32.2503979,-101.4787355
Fort Payne,43,34.4442547,-85.7196893
Chickasha,43,35.052565,-97.93643259999999
Minden,43,38.9540739,-119.7657332
Hereford,43,52.05639799999999,-2.715974
Mason City,43,43.1535728,-93.20103669999999
Bainbridge,43,47.62487910000001,-122.5210007
Evansville,42,37.9715592,-87.5710898
Fairfield,42,41.1408363,-73.2612615
Emporia,42,38.403903,-96.18166260000001
Enterprise,42,37.223958,-95.73042769999999
Spring Hill,42,28.4831682,-82.5369872
Cookeville,42,36.162839,-85.5016423
Tallahassee,42,30.4382559,-84.28073289999999
Oxford,42,51.7520209,-1.2577263
Thomaston,42,32.8881879,-84.3265854
Callaway,41,35.208095,-97.4375017
Muscle Shoals,41,34.7448112,-87.66752919999999
Aiken,41,33.5604168,-81.7195533
Montgomery,40,32.3792233,-86.3077368
Effingham,40,39.1200418,-88.5433829
Atchison,40,39.5630521,-95.12163559999999
Liberty,40,37.1556278,-95.5947005
Spencer,40,36.06320470000001,-95.88014109999999
Harrisburg,39,40.2731911,-76.8867008
Lawton,39,34.6035669,-98.39592909999999
Winfield,39,37.2397486,-96.9955918
Paragould,39,36.0584021,-90.4973286
Champaign,39,40.1164204,-88.2433829
Mount Vernon,39,38.707982,-77.0861753
Chatham,39,41.6820897,-69.95976639999999
South Sioux City,39,42.4648558,-96.4130601
Kinston,38,35.2626635,-77.5816353
Bowling Green,38,36.9685219,-86.4808043
New Ulm,38,44.3144394,-94.45930179999999
Independence,38,39.0911161,-94.41550679999999
Forrest City,38,35.0081474,-90.7898342
Goldsboro,37,35.3848841,-77.9927651
Siloam Springs,37,36.1881365,-94.54049619999999
Arkansas City,37,37.0619736,-97.0383712
Kewanee,37,41.2455927,-89.9248303
Jennings,37,38.7192175,-90.26039030000001
Macomb,37,42.7168759,-82.82097399999999
Midland,36,31.9973456,-102.0779146
Nacogdoches,36,31.6035129,-94.6554874
Albany,36,42.6525793,-73.7562317
Clarksville,36,36.5297706,-87.3594528
Lexington Park,36,38.2575517,-76.4620928
Manhattan,36,40.7830603,-73.9712488
North Branch,36,45.5102135,-92.99310539999999
Campbellsville,36,37.3433974,-85.3419069
Platteville,36,42.73416,-90.4784621
Albert Lea,36,43.6478006,-93.3686555
Bloomington,35,39.165325,-86.52638569999999
Tuskegee,35,32.430237,-85.7077266
Lewistown,35,40.5992395,-77.571382
Opelousas,35,30.5335302,-92.081509
Harrison,35,40.7464901,-74.1562551
Alexander City,35,32.944012,-85.9538532
Georgetown,35,38.9076089,-77.07225849999999
Altoona,34,40.5186809,-78.3947359
Lufkin,34,31.3382406,-94.729097
Culpeper,34,38.4729632,-77.9962512
Council Bluffs,34,41.2619444,-95.8608333
Stephenville,34,32.2206958,-98.2022633
Pittsburg,34,38.0279762,-121.8846806
Parsons,34,37.34033840000001,-95.2610838
Lake City,34,30.1896756,-82.6392899
Anderson,33,38.97383,-95.250525
Guthrie,33,35.878937,-97.42531849999999
Rochester,33,43.15657789999999,-77.6088465
Statesboro,33,32.4487876,-81.7831674
Menomonie,33,44.8755183,-91.9193422
